"","X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
"39",1044043,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 06:59:52 AM","2025-04-25","06:59:52","1158 15TH AVE E, SEATTLE, WA 98112",47.63038986,-122.31223561,"POINT (-122.31223561 47.63038986)","98112","EAST","STEVENS"
"40",1044044,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 07:09:50 AM","2025-04-25","07:09:50","606 5TH AVE S, SEATTLE, WA 98104",47.59698437,-122.32687407,"POINT (-122.32687407 47.59698437)","98104","WEST","INTERNATIONAL DISTRICT"
"41",1044045,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 07:16:01 AM","2025-04-25","07:16:01","1367 SW HENDERSON ST, SEATTLE, WA 98106",47.52276382,-122.35245197,"POINT (-122.35245197 47.52276382)","98106","SOUTHWEST","HIGHLAND PARK"
"42",1044046,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 07:18:00 AM","2025-04-25","07:18:00","3817 44TH AVE SW, SEATTLE, WA 98116",47.56959734,-122.38846192,"POINT (-122.38846192 47.56959734)","98116","SOUTHWEST","GENESEE"
"43",1044047,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/25/2025 07:22:02 AM","2025-04-25","07:22:02","9173 1ST AVE NE, SEATTLE, WA 98115",47.69566191,-122.32855289,"POINT (-122.32855289 47.69566191)","98115","NORTH","MAPLE LEAF"
"44",1044048,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 07:24:17 AM","2025-04-25","07:24:17","628 S KING ST, SEATTLE, WA 98104",47.59843495,-122.32560425,"POINT (-122.32560425 47.59843495)","98104","WEST","INTERNATIONAL DISTRICT"
"45",1044049,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 06:53:55 AM","2025-04-25","06:53:55","4655 NE 45TH ST, SEATTLE, WA 98105",47.66123908,-122.27736278,"POINT (-122.27736278 47.66123908)","98105","NORTH","LAURELHURST"
"46",1044050,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","04/25/2025 07:32:06 AM","2025-04-25","07:32:06","289 10TH AVE E, SEATTLE, WA 98102",47.62095877,-122.31967743,"POINT (-122.31967743 47.62095877)","98102","EAST","BROADWAY"
"47",1044051,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 07:28:05 AM","2025-04-25","07:28:05","1356 N 36TH ST, SEATTLE, WA 98103",47.65060957,-122.34193278,"POINT (-122.34193278 47.65060957)","98103","NORTH","WALLINGFORD"
"48",1044052,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 07:30:10 AM","2025-04-25","07:30:10","7404 E GREEN LAKE DR N, SEATTLE, WA 98115",47.68181507,-122.32755675,"POINT (-122.32755675 47.68181507)","98115","NORTH","GREEN LAKE"
"49",1044053,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","04/25/2025 07:32:11 AM","2025-04-25","07:32:11","231 10TH AVE E, SEATTLE, WA 98102",47.62027712,-122.31966664,"POINT (-122.31966664 47.62027712)","98102","EAST","BROADWAY"
"50",1044054,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","04/25/2025 07:32:13 AM","2025-04-25","07:32:13","209 10TH AVE E, SEATTLE, WA 98102",47.62001856,-122.31966255,"POINT (-122.31966255 47.62001856)","98102","EAST","BROADWAY"
"51",1044055,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 07:09:57 AM","2025-04-25","07:09:57","1167 SPRING ST, SEATTLE, WA 98104",47.61029307,-122.32498357,"POINT (-122.32498357 47.61029307)","98104","EAST","FIRST HILL"
"52",1044056,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:42:14 AM","2025-04-25","07:42:14","1538 WESTLAKE AVE, SEATTLE, WA 98101",47.61096282,-122.33695707,"POINT (-122.33695707 47.61096282)","98101","WEST","CENTRAL BUSINESS DISTRICT"
"53",1044057,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 07:42:11 AM","2025-04-25","07:42:11","8569 MARY AVE NW, SEATTLE, WA 98117",47.69214491,-122.37567629,"POINT (-122.37567629 47.69214491)","98117","NORTH","CROWN HILL"
"54",1044058,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 07:13:35 AM","2025-04-25","07:13:35","34 S HUDSON ST, SEATTLE, WA 98134",47.55749436,-122.33810233,"POINT (-122.33810233 47.55749436)","98134","SOUTH","INDUSTRIAL DISTRICT"
"55",1044059,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 07:46:16 AM","2025-04-25","07:46:16","1765 E ROY ST, SEATTLE, WA 98112",47.62516085,-122.30912731,"POINT (-122.30912731 47.62516085)","98112","EAST","STEVENS"
"56",1044060,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 07:38:10 AM","2025-04-25","07:38:10","1633 11TH AVE, SEATTLE, WA 98122",47.61629979,-122.31903055,"POINT (-122.31903055 47.61629979)","98122","EAST","BROADWAY"
"57",1044061,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 07:40:13 AM","2025-04-25","07:40:13","1633 11TH AVE, SEATTLE, WA 98122",47.61629979,-122.31903055,"POINT (-122.31903055 47.61629979)","98122","EAST","BROADWAY"
"58",1044062,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 07:16:03 AM","2025-04-25","07:16:03","3817 44TH AVE SW, SEATTLE, WA 98116",47.56959734,-122.38846192,"POINT (-122.38846192 47.56959734)","98116","SOUTHWEST","GENESEE"
"59",1044063,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:02:21 AM","2025-04-25","08:02:21","512 12TH AVE E, SEATTLE, WA 98102",47.62348128,-122.31635071,"POINT (-122.31635071 47.62348128)","98102","EAST","BROADWAY"
"60",1044064,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 07:02:17 AM","2025-04-25","07:02:17","3446 AIRPORT WAY S, SEATTLE, WA 98134",47.57186865,-122.3233378,"POINT (-122.3233378 47.57186865)","98134","SOUTH","INDUSTRIAL DISTRICT"
"61",1044065,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 07:58:19 AM","2025-04-25","07:58:19","2941 ALKI AVE SW, SEATTLE, WA 98116",47.57795553,-122.41507551,"POINT (-122.41507551 47.57795553)","98116","SOUTHWEST","ALKI"
"62",1044066,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:40:10 AM","2025-04-25","07:40:10","1900 9TH AVE, SEATTLE, WA 98101",47.61597659,-122.3344802,"POINT (-122.3344802 47.61597659)","98101","WEST","BELLTOWN"
"63",1044067,"Nuisance dogs in a park","FAS-Finance and Administrative Services","04/25/2025 08:00:24 AM","2025-04-25","08:00:24","1816 13TH AVE S, SEATTLE, WA 98144",47.586408,-122.31573,"POINT (-122.31573 47.586408)","98144","SOUTH","NORTH BEACON HILL"
"64",1044068,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 07:46:18 AM","2025-04-25","07:46:18","219 BLANCHARD ST, SEATTLE, WA 98121",47.61353125,-122.34380124,"POINT (-122.34380124 47.61353125)","98121","WEST","BELLTOWN"
"65",1044069,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/25/2025 08:00:20 AM","2025-04-25","08:00:20","3300 19TH AVE S, SEATTLE, WA 98144",47.57386821,-122.30678774,"POINT (-122.30678774 47.57386821)","98144","SOUTH","NORTH BEACON HILL"
"66",1044070,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 07:01:53 AM","2025-04-25","07:01:53","7821 62ND AVE NE, SEATTLE, WA 98115",47.68842912,-122.26492716,"POINT (-122.26492716 47.68842912)","98115","NORTH","SAND POINT"
"67",1044071,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 07:10:44 AM","2025-04-25","07:10:44","5900 AIRPORT WAY S, SEATTLE, WA 98108",47.54957047,-122.31658078,"POINT (-122.31658078 47.54957047)","98108","SOUTH","MID-BEACON HILL"
"68",1044072,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:02:24 AM","2025-04-25","08:02:24","4113 37TH AVE S, SEATTLE, WA 98118",47.56572788,-122.28628616,"POINT (-122.28628616 47.56572788)","98118","SOUTH","MOUNT BAKER"
"69",1044073,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:03:48 AM","2025-04-25","08:03:48","5455 9TH AVE NW, SEATTLE, WA 98107",47.66831219,-122.36872694,"POINT (-122.36872694 47.66831219)","98107","NORTH","WEST WOODLAND"
"70",1044074,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:10:08 AM","2025-04-25","08:10:08","105 N 87TH ST, SEATTLE, WA 98103",47.69226502,-122.35769596,"POINT (-122.35769596 47.69226502)","98103","NORTH","GREENWOOD"
"71",1044075,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:56:20 AM","2025-04-25","07:56:20","2118 NE PARK RD, SEATTLE, WA 98105",47.67007078,-122.30441697,"POINT (-122.30441697 47.67007078)","98105","NORTH","UNIVERSITY DISTRICT"
"72",1044076,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:48:14 AM","2025-04-25","07:48:14","8982 SEWARD PARK AVE S, SEATTLE, WA 98118",47.52337649,-122.26443926,"POINT (-122.26443926 47.52337649)","98118","SOUTH","DUNLAP"
"73",1044077,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:04:46 AM","2025-04-25","08:04:46","5463 9TH AVE NW, SEATTLE, WA 98107",47.66837418,-122.36872681,"POINT (-122.36872681 47.66837418)","98107","NORTH","WEST WOODLAND"
"74",1044078,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:02:17 AM","2025-04-25","08:02:17","5449 9TH AVE NW, SEATTLE, WA 98107",47.6682657,-122.36872703,"POINT (-122.36872703 47.6682657)","98107","NORTH","WEST WOODLAND"
"75",1044079,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:05:47 AM","2025-04-25","08:05:47","5469 9TH AVE NW, SEATTLE, WA 98107",47.66842067,-122.36872672,"POINT (-122.36872672 47.66842067)","98107","NORTH","WEST WOODLAND"
"76",1044080,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:06:49 AM","2025-04-25","08:06:49","5475 9TH AVE NW, SEATTLE, WA 98107",47.66846716,-122.36872663,"POINT (-122.36872663 47.66846716)","98107","NORTH","WEST WOODLAND"
"77",1044081,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:12:28 AM","2025-04-25","08:12:28","1549 SW CAMBRIDGE ST, SEATTLE, WA 98106",47.51911195,-122.35456146,"POINT (-122.35456146 47.51911195)","98106","SOUTHWEST","HIGHLAND PARK"
"78",1044082,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:02:27 AM","2025-04-25","08:02:27","1512 WESTLAKE AVE, SEATTLE, WA 98101",47.61090722,-122.3366673,"POINT (-122.3366673 47.61090722)","98101","WEST","CENTRAL BUSINESS DISTRICT"
"79",1044083,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 08:12:33 AM","2025-04-25","08:12:33","9034 2ND AVE NW, SEATTLE, WA 98117",47.69516597,-122.35877369,"POINT (-122.35877369 47.69516597)","98117","NORTH","GREENWOOD"
"80",1044084,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 07:58:21 AM","2025-04-25","07:58:21","1108 19TH AVE E, SEATTLE, WA 98112",47.62904494,-122.30692161,"POINT (-122.30692161 47.62904494)","98112","EAST","STEVENS"
"81",1044085,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/25/2025 08:20:31 AM","2025-04-25","08:20:31","3726 CHEASTY BLVD S, SEATTLE, WA 98108",47.57068102,-122.29908002,"POINT (-122.29908002 47.57068102)","98108","SOUTH","COLUMBIA CITY"
"82",1044086,"Taxi, TNC, or Limousine Complaint or Compliment","FAS-Finance and Administrative Services","04/25/2025 08:20:46 AM","2025-04-25","08:20:46","",NA,NA,"","","",""
"83",1044087,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 08:06:25 AM","2025-04-25","08:06:25","913 E JAMES ST, SEATTLE, WA 98122",47.60713474,-122.32027819,"POINT (-122.32027819 47.60713474)","98122","EAST","YESLER TERRACE"
"84",1044088,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/25/2025 07:14:36 AM","2025-04-25","07:14:36","795 BELLEVUE PL E, SEATTLE, WA 98102",47.62669196,-122.32750047,"POINT (-122.32750047 47.62669196)","98102","EAST","BROADWAY"
"85",1044089,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/25/2025 08:12:25 AM","2025-04-25","08:12:25","7890 8TH AVE S, SEATTLE, WA 98108",47.53201678,-122.3227012,"POINT (-122.3227012 47.53201678)","98108","SOUTHWEST","SOUTH PARK"
"86",1044090,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 08:04:21 AM","2025-04-25","08:04:21","5248 47TH AVE S, SEATTLE, WA 98118",47.55483848,-122.27429387,"POINT (-122.27429387 47.55483848)","98118","SOUTH","COLUMBIA CITY"
"87",1044091,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:08:26 AM","2025-04-25","08:08:26","2615 SW BARTON ST, SEATTLE, WA 98126",47.519962,-122.36711605,"POINT (-122.36711605 47.519962)","98126","SOUTHWEST","SOUTH DELRIDGE"
"88",1044092,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/25/2025 08:26:32 AM","2025-04-25","08:26:32","5783 17TH AVE NW, SEATTLE, WA 98107",47.67077917,-122.37900445,"POINT (-122.37900445 47.67077917)","98107","NORTH","ADAMS"
"89",1044093,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:14:27 AM","2025-04-25","08:14:27","300 10TH AVE E, SEATTLE, WA 98102",47.62124676,-122.31972111,"POINT (-122.31972111 47.62124676)","98102","EAST","BROADWAY"
"90",1044094,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:07:36 AM","2025-04-25","08:07:36","901 NW MARKET ST, SEATTLE, WA 98107",47.66838615,-122.36887567,"POINT (-122.36887567 47.66838615)","98107","NORTH","WEST WOODLAND"
"91",1044095,"Parking Enforcement","SPD-Seattle Police Department","04/25/2025 08:06:32 AM","2025-04-25","08:06:32","790 WHEELER ST, SEATTLE, WA 98109",47.64098889,-122.34342998,"POINT (-122.34342998 47.64098889)","98109","WEST","EAST QUEEN ANNE"
"92",1044096,"Pothole","SDOT-Seattle Department of Transportation","04/25/2025 08:20:51 AM","2025-04-25","08:20:51","11998 15TH AVE NE, SEATTLE, WA 98125",47.71578401,-122.31243387,"POINT (-122.31243387 47.71578401)","98125","NORTH","VICTORY HEIGHTS"
"93",1044097,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","04/25/2025 08:26:59 AM","2025-04-25","08:26:59","555 5TH AVE, SEATTLE, WA 98104",47.60333346,-122.32899699,"POINT (-122.32899699 47.60333346)","98104","WEST","PIONEER SQUARE"
"94",1044098,"Taxi, TNC, or Limousine Complaint or Compliment","FAS-Finance and Administrative Services","04/25/2025 08:30:33 AM","2025-04-25","08:30:33","",NA,NA,"","","",""
"95",1044099,"Unauthorized Encampment","SEA-City of Seattle","04/25/2025 08:12:31 AM","2025-04-25","08:12:31","2100 E JOHN ST, SEATTLE, WA 98112",47.62041399,-122.30447636,"POINT (-122.30447636 47.62041399)","98112","EAST","STEVENS"
"96",1044100,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 08:20:56 AM","2025-04-25","08:20:56","1239 SENECA ST, SEATTLE, WA 98101",47.61134085,-122.32483732,"POINT (-122.32483732 47.61134085)","98101","EAST","FIRST HILL"
"97",1044101,"Graffiti","SPU-Seattle Public Utilities","04/25/2025 08:16:44 AM","2025-04-25","08:16:44","610 1ST AVE W, SEATTLE, WA 98119",47.62470915,-122.35789332,"POINT (-122.35789332 47.62470915)","98119","WEST","LOWER QUEEN ANNE"
"98",1044102,"Pothole","SDOT-Seattle Department of Transportation","04/25/2025 08:18:28 AM","2025-04-25","08:18:28","1234 SENECA ST, SEATTLE, WA 98101",47.61146212,-122.32500979,"POINT (-122.32500979 47.61146212)","98101","EAST","FIRST HILL"
"99",1044103,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/25/2025 08:28:39 AM","2025-04-25","08:28:39","823 SW HENDERSON ST, SEATTLE, WA 98106",47.52264493,-122.34636405,"POINT (-122.34636405 47.52264493)","98106","SOUTHWEST","HIGHLAND PARK"
